Date,3ll_refined,tom_exit1,tt_bear,ensemble,SPY
2011-07-14,3.3576774922498003,1.6360474488181485,1.9967236406665305,2.528664832646924,1.2319227081854953
2011-07-15,3.374021001954121,1.6360474488181485,1.9967236406665305,2.534818976147413,1.2390734707408377
2011-07-18,3.3478517421170877,1.6360474488181485,1.9967236406665305,2.524988815578136,1.2289116596257532
2011-07-19,3.3890947595189655,1.6360474488181485,1.9967236406665305,2.5405417978608256,1.248858935745031
2011-07-20,3.429324590848328,1.6360474488181485,1.9967236406665305,2.555620391890407,1.2481062435232484
2011-07-21,3.4361998023501235,1.6360474488181485,1.9967236406665305,2.5581821836145613,1.2654190036420832
2011-07-22,3.439200146416927,1.6360474488181485,1.9967236406665305,2.5592990317575537,1.2662653861887223
2011-07-25,3.4453218201015865,1.6352298339011977,1.9967236406665305,2.5611930667263327,1.2592087800792555
2011-07-26,3.403552482252896,1.6376035374355888,1.9967236406665305,2.5467831127405756,1.254504500305216
2011-07-27,3.3197499790811533,1.5968775398875565,1.9967236406665305,2.4964285905058183,1.2288182489735082
2011-07-28,3.3159681155994987,1.5985536359183696,1.9967236406665305,2.495792704864499,1.2252426346353273
2011-07-29,3.31506255673762,1.5859061891590331,1.9967236406665305,2.489528047876024,1.2168684908530276
2011-08-01,3.3064525350410885,1.5889363127714011,1.9967236406665305,2.4877220843832024,1.2116935220738134
2011-08-02,3.231305778061995,1.5889363127714011,1.9967236406665305,2.4594524744424167,1.1807375861717928
2011-08-03,3.2624785931550226,1.5889363127714011,1.9967236406665305,2.471315798819886,1.1871358429537604
2011-08-04,3.1337530706240893,1.5889363127714011,1.9967236406665305,2.42256123868124,1.1315284443826263
2011-08-05,3.148498811959051,1.5889363127714011,1.9967236406665305,2.428260867941848,1.1298348402715137
2011-08-08,2.941079054127056,1.5889363127714011,1.9957257777776427,2.3480325396987984,1.0562563322540457
2011-08-09,3.0713791450486094,1.5889363127714011,2.106565644811271,2.426126867618244,1.1053712243731324
2011-08-10,3.0345284294694035,1.5889363127714011,2.017570761456322,2.3910733696589905,1.0565386151432652
2011-08-11,3.1533782870296867,1.5889363127714011,2.1051482192554074,2.4586556145826313,1.1039601828238506
2011-08-12,3.169469576475179,1.5889363127714011,2.1072226187437506,2.465413267143091,1.1113929485958012
2011-08-15,3.169469576475179,1.5889363127714011,2.1061695339767623,2.4651668490254357,1.1349159322774636
2011-08-16,3.169469576475179,1.5889363127714011,2.068120501119729,2.4562599483297887,1.1252248101675537
2011-08-17,3.169469576475179,1.5889363127714011,2.0472962319269747,2.4513134456145256,1.1259770362683172
2011-08-18,3.1313020203406223,1.5889363127714011,1.9460829398481956,2.4123163946856883,1.0774266167034654
2011-08-19,3.089550589621096,1.5889363127714011,1.9150186752420795,2.388532702270109,1.0598318533680227
2011-08-22,3.07327582175336,1.5889363127714011,1.9140616444198704,2.3820029538412046,1.0606785155872733
2011-08-23,3.2222593673892512,1.5889363127714011,1.9757956283480433,2.455104556433644,1.095585945817347
2011-08-24,3.2190793308025376,1.5889363127714011,2.039866133084886,2.4698157673700165,1.1110168821575213
2011-08-25,3.2190793308025376,1.588142241650576,2.031625572187667,2.4674499896694337,1.0940806545979855
2011-08-26,3.2190793308025376,1.613625259372604,2.0382693507019476,2.480941455127152,1.109982093494927
2011-08-29,3.2190793308025376,1.6672143403667479,2.037861900556879,2.505560157132244,1.1418783819410547
2011-08-30,3.2190793308025376,1.6617613263028124,2.0434720267866657,2.5044811861161063,1.1448895237250005
2011-08-31,3.2190793308025376,1.667431554044925,2.036065330716228,2.5052293771424607,1.1499705225067467
2011-09-01,3.2190793308025376,1.6362605093199265,2.0355324188499595,2.491048372217299,1.1379268876130018
2011-09-02,3.21952954695695,1.6362605093199265,2.0317144681770736,2.4902881015474114,1.1088528687138453
2011-09-06,3.28179419919568,1.6362605093199265,2.0317144681770736,2.5143687817144333,1.1007610078207648
2011-09-07,3.357265905127542,1.6362605093199265,2.0317144681770736,2.543280360226017,1.1318108204960498
2011-09-08,3.3408165154020595,1.6362605093199265,2.0317144681770736,2.5370497828739773,1.1200494684915243
2011-09-09,3.3408165154020595,1.6362605093199265,2.0317144681770736,2.5370497828739773,1.0906932599273522
2011-09-12,3.3408165154020595,1.6362605093199265,2.030699118617765,2.536796204684785,1.0977500524852268
2011-09-13,3.3408165154020595,1.6362605093199265,2.0763309360390587,2.5481970685730797,1.1078176139302318
2011-09-14,3.3408165154020595,1.6362605093199265,2.111966749115146,2.556943947294632,1.1231544870487342
2011-09-15,3.3408165154020595,1.6362605093199265,2.1294448025920714,2.5611760596673325,1.1425369177169615
2011-09-16,3.3408165154020595,1.6362605093199265,2.128761646515164,2.5610117273505653,1.1492994014633218
2011-09-19,3.338970508781406,1.6362605093199265,2.127697797616356,2.5600481959099572,1.1378555710970661
2011-09-20,3.3201791346647487,1.6362605093199265,2.1045920461744476,2.54728418237546,1.1365315077299645
2011-09-21,3.1994119120122724,1.6362605093199265,1.998999537244795,2.475396407947273,1.1030511536122327
2011-09-22,3.0955067600435786,1.6362605093199265,1.9645360163825518,2.4266651573761036,1.0673956923705685
2011-09-23,3.1307221048065705,1.6362605093199265,1.9821884822042821,2.444829357266825,1.0738270437448982
2011-09-26,3.2082637833105343,1.6354427879259634,1.981197883262651,2.474495203948244,1.0993624583147972
2011-09-27,3.226362476722209,1.636923482984626,2.0074488839700364,2.4887044070641267,1.1116574256620877
2011-09-28,3.2287478370475,1.6071886791720942,1.9744508747093699,2.467880407511682,1.0889592897359779
2011-09-29,3.2407003531381102,1.5985909164594836,1.9788775586912903,2.469594298034541,1.0975658414584442
2011-09-30,3.2309806427864607,1.5603329212263732,1.9537550500908398,2.4418894143347094,1.0701384416716666
2011-10-03,3.152888616075106,1.5083579569431298,1.952778660760459,2.3877334770005145,1.0396843316589024
2011-10-04,3.2302114224693774,1.5083579569431298,2.001415087993796,2.4289062877593675,1.0624778359455376
2011-10-05,3.2451768582730023,1.5083579569431298,2.0559753737718176,2.447775611148406,1.0821493548698646
2011-10-06,3.251862993724106,1.5083579569431298,2.0579768329898283,2.4507737980912205,1.1017270902451313
2011-10-07,3.2522460550059624,1.5083579569431298,2.056878122101901,2.4506564621876983,1.0943501657712793
2011-10-10,3.2522460550059624,1.5083579569431298,2.05656974457235,2.4505829792353087,1.1309514797850773
2011-10-11,3.2522460550059624,1.5083579569431298,2.053784726215331,2.4499192605746036,1.1320861115699814
2011-10-12,3.2522460550059624,1.5083579569431298,2.062013388266737,2.45188242228198,1.1420166334353454
2011-10-13,3.2522460550059624,1.5083579569431298,2.0889293887347664,2.458283434884635,1.1397471834171296
2011-10-14,3.2522460550059624,1.5083579569431298,2.0889293887347664,2.458283434884635,1.1592299233286858
2011-10-17,3.2522460550059624,1.5083579569431298,2.0878854460117613,2.4580377293938924,1.1370988702345186
2011-10-18,3.257847601427114,1.5083579569431298,2.1797798156711123,2.4817917312205098,1.1593246391197845
2011-10-19,3.2580426026446756,1.5083579569431298,2.157751135366208,2.476849848380869,1.1456106129416823
2011-10-20,3.264624940917446,1.5083579569431298,2.158673717634739,2.4795636855358523,1.1506231851578117
2011-10-21,3.2778707707168806,1.5083579569431298,2.176925039054396,2.4887868351583995,1.1724710231207212
2011-10-24,3.280562448536619,1.5083579569431298,2.1758371204941493,2.489559935096887,1.1868462885766418
2011-10-25,3.280562448536619,1.5076041548656969,2.12692587287451,2.477993985730461,1.1637696623829523
2011-10-26,3.280562448536619,1.522534509243727,2.1613222063121276,2.493370880579745,1.1755918897925837
2011-10-27,3.288716029594863,1.5863257649423188,2.1660821250624136,2.5289078861628953,1.2165435112784506
2011-10-28,3.2874152688376994,1.587206580199384,2.1578221882783097,2.526900322359287,1.2162598300261735
2011-10-31,3.2843427800909466,1.5343737909285096,2.156743816370124,2.500233297339485,1.1869409111435365
2011-11-01,3.2750000473114667,1.4759407711425483,2.0901670622280335,2.452676534531824,1.1538388608449768
2011-11-02,3.287031845565266,1.4759407711425483,2.132786448891994,2.46718411615158,1.1726598021334917
2011-11-03,3.324460649587186,1.4759407711425483,2.1461004887891235,2.484311100628502,1.1940340611409077
2011-11-04,3.3267613063286476,1.4759407711425483,2.1453394208365424,2.4849945194313023,1.1867522253549698
2011-11-07,3.325551873989187,1.4759407711425483,2.144267287192946,2.484294438670498,1.1941288701562103
2011-11-08,3.325551873989187,1.4759407711425483,2.1333351736894626,2.4817613040242876,1.2094499883842642
2011-11-09,3.31249691791245,1.4759407711425483,2.0776576439456527,2.463935831548626,1.1648098580493693
2011-11-10,3.2931940260314314,1.4759407711425483,2.093137654765379,2.4604284038784208,1.1757808552537619
2011-11-11,3.3366000539174188,1.4759407711425483,2.1098801558659623,2.4805793477235207,1.1979117218995214
2011-11-14,3.3323405160211004,1.4759407711425483,2.1088257429944655,2.4787480472200807,1.1865625141001608
2011-11-15,3.3323405160211004,1.4759407711425483,2.127993184895494,2.4832539917572447,1.1924265961941405
2011-11-16,3.3324115648083366,1.4759407711425483,2.0993749670539836,2.4766012791982033,1.1735111255629345
2011-11-17,3.3378937208636805,1.4759407711425483,2.080089483263964,2.4740882503203383,1.1548791497355975
